省份,人数
北京市       ,112
天津市       ,69
河北省       ,374
山西省       ,250
内蒙古自治区    ,161
辽宁省       ,346
吉林省       ,271
黑龙江省      ,462
上海市       ,41659
江苏省       ,4010
浙江省       ,1886
安徽省       ,1990
福建省       ,529
江西省       ,1042
山东省       ,815
河南省       ,744
湖北省       ,749
湖南省       ,395
广东省       ,173
广西壮族自治区   ,65
海南省       ,20
重庆市       ,36
四川省       ,481
贵州省       ,169
云南省       ,86
西藏自治区     ,3
陕西省       ,305
甘肃省       ,214
青海省       ,40
宁夏回族自治区   ,39
新疆维吾尔自治区  ,293
台湾省       ,0
香港特别行政区    ,0
澳门特别行政区   ,0
其他（可能有误）,5
总计,57793
